Key,Count,Size,NeverExpire,AvgTtl(excluded never expire)
len5000_10k:*,10000,654.297 KB,10000,0
len5000_5k:*,5000,327.148 KB,5000,0
len1000_10k:*,10000,214.844 KB,10000,0
len1000_5k:*,5000,107.422 KB,5000,0
len10_10k:*,10000,107.422 KB,10000,0
len10_5k:*,5000,53.711 KB,5000,0
